Suizo
Torneo:,Grand Swiss 2021
Organizador:,FIDE
Fecha de inicio:,lunes 25 de octubre de 2021
Fecha de fin:,martes 9 de noviembre de 2021
""
Núm.,Nombre,Puntaje
2, Fabiano Caruana,0.0
26, Levon Aronian,0.0
1, Alireza Firouzja,0.0
6, Maxime Vachier-Lagrave,0.0
23, Nikita Vitiugov,0.0
14, Andrey Esipenko,0.0
30, Pentala Harikrishna,0.0
19, Daniil Dubov,0.0
29, Kirill Alekseenko,0.0
21, Vladimir Fedoseev,0.0
4, Yu Yangyi,0.0
38, Parham Maghsoodloo,0.0
27, Jeffery Xiong,0.0
16, Vladislav Artemiev,0.0
66, Peter Svidler,0.0
53, David Navara,0.0
44, Jorden van Foreest,0.0
40, Pavel Eljanov,0.0
59, Rados?aw Wojtaszek,0.0
12, Anton Korobov,0.0
24, Yuriy Kryvoruchko,0.0
77, Maxim Matlakov,0.0
68, Boris Gelfand,0.0
96, Rauf Mamedov,0.0
90, Baskaran Adhiban,0.0
7, Alexandr Predke,0.0
10, Gabriel Sargissian,0.0
22, Sanan Sjugirov,0.0
25, Nils Grandelius,0.0
8, Alexei Shirov,0.0
79, Ivan Cheparinov,0.0
32, Pavel Ponkratov,0.0
11, David Antón Guijarro,0.0
9, David Howell,0.0
99, Rinat Jumabayev,0.0
69, Aleksandr Rakhmanov,0.0
64, Jorge Cori,0.0
33, Evgeniy Najer,0.0
3, Grigoriy Oparin,0.0
13, Samuel Sevian,0.0
41, Andrei Volokitin,0.0
18, Nihal Sarin,0.0
60, Anton Demchenko,0.0
28, Alexey Sarana,0.0
71, Alexander Donchenko,0.0
35, Dariusz ?wiercz,0.0
49, Aryan Tari,0.0
56, Nodirbek Abdusattorov,0.0
36, Ivan Šari?,0.0
15, Bogdan-Daniel Deac,0.0
102, David Paravyan,0.0
75, Gukesh D,0.0
31, Krishnan Sasikiran,0.0
61, Matthias Bluebaum,0.0
50, Amin Tabatabaei,0.0
55, Maksim Chigaev,0.0
52, Hans Niemann,0.0
93, Nijat Abasov,0.0
91, Aleksey Dreev,0.0
58, Arjun Erigaisi,0.0
81, Vladislav Kovalev,0.0
42, Jules Moussard,0.0
34, Kirill Shevchenko,0.0
47, Ruslan Ponomariov,0.0
5, Vincent Keymer,0.0
86, Vasif Durarbayli,0.0
63, Zhou Jianchao,0.0
76, Alan Pichot,0.0
95, Sergei Movsesian,0.0
39, Mustafa Y?lmaz,0.0
94, Martyn Kravtsiv,0.0
85, Haik M. Martirosyan,0.0
20, Yuriy Kuzubov,0.0
48, Robert Hovhannisyan,0.0
74, Vladimir Onischuk,0.0
51, Ante Brkic,0.0
73, Dmitrij Kollars,0.0
54, Nodirbek Yakubboev,0.0
83, S. P. Sethuraman,0.0
46, Mikhail Antipov,0.0
72, Rameshbabu Praggnanandhaa,0.0
88, Surya Shekhar Ganguly,0.0
70, Aleksandar Indjic,0.0
57, Raunak Sadhwani,0.0
45, Vadim Zvjaginsev,0.0
43, Cristobal Henriquez Villagra,0.0
37, Samvel Ter-Sahakyan,0.0
82, Velimir Ivi?,0.0
17, Manuel Petrosyan,0.0
87, Ahmed Adly,0.0
78, Aleksandra Goryachkina,0.0
84, Mateusz Bartel,0.0
62, Javokhir Sindarov,0.0
80, Baadur Jobava,0.0
100, Hjorvar Steinn Gretarsson,0.0
101, Kiril Georgiev,0.0
67, Thai Dai Van Nguyen,0.0
92, Arturs Neikš?ns,0.0
98, Jonas Buhl Bjerre,0.0
103, Nikita Meshkovs,0.0
65, Temur Kuybokarov,0.0
106, Lucas van Foreest,0.0
97, Aydin Suleymanli,0.0
89, Shamsiddin Vokhidov,0.0
107, Ivan Morovic Fernandez,0.0
105, Luka Budisavljevi?,0.0
108, Fy Antenaina Rakotomaharo,0.0
104, Normunds Miezis,0.0



Ronda 1
Núm.,blancas,VS,Núm.,negras,Fecha del encuentro
2, Fabiano Caruana,vs,50, Amin Tabatabaei,lunes 25 de octubre de 2021
26, Levon Aronian,vs,55, Maksim Chigaev,lunes 25 de octubre de 2021
1, Alireza Firouzja,vs,52, Hans Niemann,lunes 25 de octubre de 2021
6, Maxime Vachier-Lagrave,vs,93, Nijat Abasov,lunes 25 de octubre de 2021
23, Nikita Vitiugov,vs,91, Aleksey Dreev,lunes 25 de octubre de 2021
14, Andrey Esipenko,vs,58, Arjun Erigaisi,lunes 25 de octubre de 2021
30, Pentala Harikrishna,vs,81, Vladislav Kovalev,lunes 25 de octubre de 2021
19, Daniil Dubov,vs,42, Jules Moussard,lunes 25 de octubre de 2021
29, Kirill Alekseenko,vs,34, Kirill Shevchenko,lunes 25 de octubre de 2021
21, Vladimir Fedoseev,vs,47, Ruslan Ponomariov,lunes 25 de octubre de 2021
4, Yu Yangyi,vs,5, Vincent Keymer,lunes 25 de octubre de 2021
38, Parham Maghsoodloo,vs,86, Vasif Durarbayli,lunes 25 de octubre de 2021
27, Jeffery Xiong,vs,63, Zhou Jianchao,lunes 25 de octubre de 2021
16, Vladislav Artemiev,vs,76, Alan Pichot,lunes 25 de octubre de 2021
66, Peter Svidler,vs,95, Sergei Movsesian,lunes 25 de octubre de 2021
53, David Navara,vs,39, Mustafa Y?lmaz,lunes 25 de octubre de 2021
44, Jorden van Foreest,vs,94, Martyn Kravtsiv,lunes 25 de octubre de 2021
40, Pavel Eljanov,vs,85, Haik M. Martirosyan,lunes 25 de octubre de 2021
59, Rados?aw Wojtaszek,vs,20, Yuriy Kuzubov,lunes 25 de octubre de 2021
12, Anton Korobov,vs,48, Robert Hovhannisyan,lunes 25 de octubre de 2021
24, Yuriy Kryvoruchko,vs,74, Vladimir Onischuk,lunes 25 de octubre de 2021
77, Maxim Matlakov,vs,51, Ante Brkic,lunes 25 de octubre de 2021
68, Boris Gelfand,vs,73, Dmitrij Kollars,lunes 25 de octubre de 2021
96, Rauf Mamedov,vs,54, Nodirbek Yakubboev,lunes 25 de octubre de 2021
90, Baskaran Adhiban,vs,83, S. P. Sethuraman,lunes 25 de octubre de 2021
7, Alexandr Predke,vs,46, Mikhail Antipov,lunes 25 de octubre de 2021
10, Gabriel Sargissian,vs,72, Rameshbabu Praggnanandhaa,lunes 25 de octubre de 2021
22, Sanan Sjugirov,vs,88, Surya Shekhar Ganguly,lunes 25 de octubre de 2021
25, Nils Grandelius,vs,70, Aleksandar Indjic,lunes 25 de octubre de 2021
8, Alexei Shirov,vs,57, Raunak Sadhwani,lunes 25 de octubre de 2021
79, Ivan Cheparinov,vs,45, Vadim Zvjaginsev,lunes 25 de octubre de 2021
32, Pavel Ponkratov,vs,43, Cristobal Henriquez Villagra,lunes 25 de octubre de 2021
11, David Antón Guijarro,vs,37, Samvel Ter-Sahakyan,lunes 25 de octubre de 2021
9, David Howell,vs,82, Velimir Ivi?,lunes 25 de octubre de 2021
99, Rinat Jumabayev,vs,17, Manuel Petrosyan,lunes 25 de octubre de 2021
69, Aleksandr Rakhmanov,vs,87, Ahmed Adly,lunes 25 de octubre de 2021
64, Jorge Cori,vs,78, Aleksandra Goryachkina,lunes 25 de octubre de 2021
33, Evgeniy Najer,vs,84, Mateusz Bartel,lunes 25 de octubre de 2021
3, Grigoriy Oparin,vs,62, Javokhir Sindarov,lunes 25 de octubre de 2021
13, Samuel Sevian,vs,80, Baadur Jobava,lunes 25 de octubre de 2021
41, Andrei Volokitin,vs,100, Hjorvar Steinn Gretarsson,lunes 25 de octubre de 2021
18, Nihal Sarin,vs,101, Kiril Georgiev,lunes 25 de octubre de 2021
60, Anton Demchenko,vs,67, Thai Dai Van Nguyen,lunes 25 de octubre de 2021
28, Alexey Sarana,vs,92, Arturs Neikš?ns,lunes 25 de octubre de 2021
71, Alexander Donchenko,vs,98, Jonas Buhl Bjerre,lunes 25 de octubre de 2021
35, Dariusz ?wiercz,vs,103, Nikita Meshkovs,lunes 25 de octubre de 2021
49, Aryan Tari,vs,65, Temur Kuybokarov,lunes 25 de octubre de 2021
56, Nodirbek Abdusattorov,vs,106, Lucas van Foreest,lunes 25 de octubre de 2021
36, Ivan Šari?,vs,97, Aydin Suleymanli,lunes 25 de octubre de 2021
15, Bogdan-Daniel Deac,vs,89, Shamsiddin Vokhidov,lunes 25 de octubre de 2021
102, David Paravyan,vs,107, Ivan Morovic Fernandez,lunes 25 de octubre de 2021
75, Gukesh D,vs,105, Luka Budisavljevi?,lunes 25 de octubre de 2021
31, Krishnan Sasikiran,vs,108, Fy Antenaina Rakotomaharo,lunes 25 de octubre de 2021
61, Matthias Bluebaum,vs,104, Normunds Miezis,lunes 25 de octubre de 2021
